team_number,opinion_mean_upm,opinion_var_upm,opinion_sum,opinion_median_upm,obs_mean_upm,obs_var_upm,obs_sum,obs_median_upm,command_mean_upm,command_var_upm,command_sum,command_median_upm,suggest_mean_upm,suggest_var_upm,suggest_sum,suggest_median_upm,thanks_mean_upm,thanks_var_upm,thanks_sum,thanks_median_upm,intentions_mean_upm,intentions_var_upm,intentions_sum,intentions_median_upm,questions_mean_upm,questions_var_upm,questions_sum,questions_median_upm,answers_mean_upm,answers_var_upm,answers_sum,answers_median_upm,emotionex_mean_upm,emotionex_var_upm,emotionex_sum,emotionex_median_upm,agree_mean_upm,agree_var_upm,agree_sum,agree_median_upm,humour_mean_upm,humour_var_upm,humour_sum,humour_median_upm,apology_mean_upm,apology_var_upm,apology_sum,apology_median_upm,encourage_mean_upm,encourage_var_upm,encourage_sum,encourage_median_upm,frust_mean_upm,frust_var_upm,frust_sum,frust_median_upm,disagree_mean_upm,disagree_var_upm,disagree_sum,disagree_median_upm,nontask_mean_upm,nontask_var_upm,nontask_sum,nontask_median_upm,misc_mean_upm,misc_var_upm,misc_sum,misc_median_upm
20,2.37,1.63,71.00,2.50,2.27,2.86,68.00,2.00,0.47,0.78,14.00,0.00,0.37,0.37,11.00,0.00,0.03,0.03,1.00,0.00,1.20,1.63,36.00,1.00,0.47,0.45,14.00,0.00,0.33,0.42,10.00,0.00,1.40,2.24,42.00,1.00,0.80,0.83,24.00,1.00,0.30,0.34,9.00,0.00,0.10,0.16,3.00,0.00,0.53,0.45,16.00,0.00,0.00,0.00,0.00,0.00,0.20,0.56,6.00,0.00,0.23,0.45,7.00,0.00,0.30,0.28,9.00,0.00
36,5.16,5.81,191.00,5.00,1.84,1.38,68.00,2.00,0.62,0.88,23.00,0.00,0.24,0.24,9.00,0.00,0.00,0.00,0.00,0.00,0.73,0.90,27.00,0.00,0.70,0.53,26.00,1.00,0.43,0.52,16.00,0.00,0.68,0.92,25.00,0.00,1.62,2.24,60.00,1.00,0.30,0.43,11.00,0.00,0.08,0.07,3.00,0.00,1.24,1.86,46.00,1.00,0.27,0.52,10.00,0.00,0.03,0.03,1.00,0.00,0.30,1.34,11.00,0.00,0.38,0.40,14.00,0.00
22,2.84,3.82,108.00,2.50,2.84,3.61,108.00,2.00,0.63,0.71,24.00,0.00,0.61,0.50,23.00,0.00,0.11,0.09,4.00,0.00,0.76,0.55,29.00,1.00,0.32,0.48,12.00,0.00,0.34,0.54,13.00,0.00,0.55,0.56,21.00,0.00,1.08,1.60,41.00,1.00,0.37,0.34,14.00,0.00,0.11,0.20,4.00,0.00,0.50,0.51,19.00,0.00,0.16,0.19,6.00,0.00,0.00,0.00,0.00,0.00,0.11,0.15,4.00,0.00,0.16,0.13,6.00,0.00
23,3.44,3.95,93.00,3.00,2.59,2.91,70.00,3.00,1.04,1.67,28.00,1.00,0.33,0.30,9.00,0.00,0.11,0.10,3.00,0.00,1.52,2.25,41.00,1.00,0.30,0.21,8.00,0.00,0.22,0.25,6.00,0.00,0.37,0.53,10.00,0.00,0.63,0.53,17.00,0.00,0.59,0.69,16.00,0.00,0.33,0.59,9.00,0.00,1.00,0.89,27.00,1.00,0.11,0.10,3.00,0.00,0.30,0.73,8.00,0.00,0.70,1.69,19.00,0.00,0.11,0.10,3.00,0.00
37,1.97,1.76,73.00,2.00,1.78,1.63,66.00,2.00,0.24,0.29,9.00,0.00,0.35,0.50,13.00,0.00,0.00,0.00,0.00,0.00,0.62,0.56,23.00,0.00,0.54,0.41,20.00,0.00,0.22,0.17,8.00,0.00,2.16,2.03,80.00,2.00,0.81,0.64,30.00,1.00,0.35,0.50,13.00,0.00,0.03,0.03,1.00,0.00,0.68,0.54,25.00,1.00,0.14,0.12,5.00,0.00,0.08,0.07,3.00,0.00,0.46,1.92,17.00,0.00,0.05,0.05,2.00,0.00
44,2.74,3.57,115.00,2.50,1.76,2.13,74.00,1.00,0.36,0.37,15.00,0.00,0.48,0.87,20.00,0.00,0.02,0.02,1.00,0.00,0.57,0.58,24.00,0.00,0.90,1.13,38.00,1.00,0.24,0.23,10.00,0.00,1.50,1.87,63.00,1.00,1.10,1.51,46.00,1.00,0.14,0.17,6.00,0.00,0.07,0.07,3.00,0.00,0.64,0.99,27.00,0.00,0.07,0.07,3.00,0.00,0.02,0.02,1.00,0.00,0.05,0.05,2.00,0.00,0.19,0.30,8.00,0.00
45,3.62,3.01,141.00,4.00,2.92,4.38,114.00,3.00,0.62,0.49,24.00,0.00,0.59,0.45,23.00,0.00,0.00,0.00,0.00,0.00,0.72,0.66,28.00,1.00,0.51,0.71,20.00,0.00,0.36,0.33,14.00,0.00,0.67,0.58,26.00,0.00,1.51,1.58,59.00,1.00,0.23,0.33,9.00,0.00,0.05,0.05,2.00,0.00,0.64,0.54,25.00,0.00,0.23,0.23,9.00,0.00,0.33,0.48,13.00,0.00,0.85,3.31,33.00,0.00,0.03,0.02,1.00,0.00
8,2.03,3.26,63.00,1.00,2.87,4.56,89.00,3.00,0.39,0.30,12.00,0.00,0.19,0.16,6.00,0.00,0.10,0.09,3.00,0.00,0.77,0.76,24.00,1.00,0.42,0.50,13.00,0.00,0.26,0.26,8.00,0.00,0.55,0.83,17.00,0.00,1.77,1.47,55.00,2.00,0.00,0.00,0.00,0.00,0.13,0.11,4.00,0.00,0.77,1.59,24.00,0.00,0.10,0.09,3.00,0.00,0.00,0.00,0.00,0.00,0.29,0.59,9.00,0.00,0.23,0.24,7.00,0.00
47,1.57,1.56,55.00,2.00,1.94,2.51,68.00,2.00,0.40,0.41,14.00,0.00,0.20,0.22,7.00,0.00,0.06,0.11,2.00,0.00,0.57,0.76,20.00,0.00,0.40,0.53,14.00,0.00,0.29,0.38,10.00,0.00,0.66,0.63,23.00,0.00,1.23,1.83,43.00,1.00,0.03,0.03,1.00,0.00,0.03,0.03,1.00,0.00,0.77,0.46,27.00,1.00,0.11,0.16,4.00,0.00,0.00,0.00,0.00,0.00,0.31,1.13,11.00,0.00,0.03,0.03,1.00,0.00
46,1.25,1.35,30.00,1.00,0.58,0.99,14.00,0.00,0.12,0.11,3.00,0.00,0.29,0.29,7.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,2.00,0.00,0.25,0.19,6.00,0.00,0.21,0.25,5.00,0.00,0.75,1.19,18.00,0.00,0.67,0.89,16.00,0.00,0.29,0.54,7.00,0.00,0.00,0.00,0.00,0.00,0.25,0.19,6.00,0.00,0.21,0.25,5.00,0.00,0.08,0.08,2.00,0.00,0.12,0.11,3.00,0.00,0.04,0.04,1.00,0.00
